# jws-store.de ar- es keszletfeed; penznem: EUR; arak: brutto kiskereskedelmi; keszlet: igaz/hamis (nincs darabszam); generalva (UTC): 2026-09-16T11:57:14+00:00
sku;name;price;list_price;on_sale;discount_percent;in_stock;stock_type;availability_text;delivery_days;weight_g;url;image_url;category;brand;was_duplicate;duplicate_count;last_modified
200200;200 Watt Solarpanel Solarmodul 200Watt 200W 12 Volt Solar Wohnmobil Wohnwagen 1480 x 670 x 30 mm;109.9;109.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;0;https://www.jws-store.de/solarpanel-mono/200-watt-solarpanel-solarmodul-200watt-200w-12-volt-solar-wohnmobil-wohnwagen-1480-x-670-x-30-mm_200200_6218;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/200200/full/200Watt-Mono.jpg;;JWS-Solar;False;1;2026-09-16T11:54:57+00:00
1742;Hairpin Legs Hairpins Hairpinlegs Tischbeine Tischkufen Esstisch Haarnadelbeine;21.9;21.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;1000;https://www.jws-store.de/tischbeine/hairpin-legs-tischbeine-schwarz-haarnadelbeine-tischgestell-industriedesign_1740_3818;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/1740/full/Hairpinlegs-Galerie.jpg;;JWS;False;1;2026-09-16T11:54:57+00:00
1746;Hairpin Legs Hairpins Hairpinlegs Tischbeine Tischkufen Esstisch Haarnadelbeine;27.9;27.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;1000;https://www.jws-store.de/tischbeine/hairpin-legs-tischbeine-schwarz-haarnadelbeine-tischgestell-industriedesign_1740_3822;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/1740/full/Hairpinlegs-Galerie.jpg;;JWS;False;1;2026-09-16T11:54:57+00:00
1747;Hairpin Legs Hairpins Hairpinlegs Tischbeine Tischkufen Esstisch Haarnadelbeine;29.9;29.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;1000;https://www.jws-store.de/tischbeine/hairpin-legs-tischbeine-schwarz-haarnadelbeine-tischgestell-industriedesign_1740_3823;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/1740/full/Hairpinlegs-Galerie.jpg;;JWS;False;1;2026-09-16T11:54:57+00:00
1748;Hairpin Legs Hairpins Hairpinlegs Tischbeine Tischkufen Esstisch Haarnadelbeine;30.9;30.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;1000;https://www.jws-store.de/tischbeine/hairpin-legs-tischbeine-schwarz-haarnadelbeine-tischgestell-industriedesign_1740_3824;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/1740/full/Hairpinlegs-Galerie.jpg;;JWS;False;1;2026-09-16T11:54:57+00:00
341;"Haken mit Schäkel Lasthaken Sicherheitshaken 3/8&amp;quot; verzinkt Sicherheitsfalle";9.9;9.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;0;https://www.jws-store.de/haken-mit-schaekel-lasthaken-sicherheitshaken-3-8-verzinkt-sicherheitsfalle_341_1205;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/341/full/IMG-2623-pxo.jpg;;;False;1;2026-09-16T11:54:57+00:00
1420.;Ladegerät 230V Schnellladegerät LiFePo4 Lithium Batterie;149.9;149.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;0;https://www.jws-store.de/batterien/ladegeraet-230v-schnellladegeraet-lifepo4-lithium-batterie_1410_3645;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/1410/full/A0uX114Q.jpeg;;JWS;False;1;2026-09-16T11:54:57+00:00
740.;Schreibtische Computertisch Bürotisch Arbeitstisch PC Tisch 100cm 120cm Desktop;59.9;59.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;0;https://www.jws-store.de/sonstiges/schreibtische-computertisch-buerotisch-arbeitstisch-pc-tisch-100cm-120cm-seitenfach_700_5243;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/700/full/1.jpg;;JWS;False;1;2026-09-16T11:54:57+00:00
1127;Solar Stecker Betteri BC01 Female SOLAX Wechselrichter;9.9;9.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;1000;https://www.jws-store.de/solarstecker/solar-stecker-betteri-bc01-female-solax-wechselrichter_1127_6546;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/1127/full/Stecker-zusammengebaut-Anschluss.png;;JWS;False;1;2026-09-16T11:54:57+00:00
110.;Solarkoffer Solarpanel Poly Solarmodul PV Photovoltaik Solarset 12Volt 12V;169.9;169.9;False;0.0;True;boolean;Sofort versandfertig, Lieferzeit 48h;2;1000;https://www.jws-store.de/solarenergie/solarkoffer/solarkoffer-100w-100-watt-solarpanel-solarmodul-photovoltaik-solarset-12volt-12v_95_5220;https://cdn03.plentyone.com/iidhyn1xr43q/item/images/95/full/Solarkoffer.jpg;;JWS;False;1;2026-09-16T11:54:57+00:00
